时间戳记,1. Gender,2. University location,3. University full name,4. Year of study at university,5. Are you in the first or last year of your program?,6. Major,7. Origin,8. Sheltering place during covid-19,"9. How strictly have you been observing the directives of ""quarantine"", ""confinement"", ""shelter-in-place"" and/or ""social distancing""  in your country? ","10. Have you experienced any recent dramatic or significant change in your life (loss or departure of a close friend or relative, you or a relative getting gravely sick, being in close contact with a Covid-infected person, financial difficulties, etc.)?","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Day time availability to follow classes]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Efficiency of learning or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Time devoted to studying or working]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Accessibility to internet]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Grades or marks]","11. How has your [...option...] changed during the ""quarantine"" period as compared to ""normal time""? [Availability of essential study resources (computer, lab, etc.)]","12. Select the four best means of sustaining or improving ACADEMIC PERFORMANCE that you find effective during ""quarantine"":","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Living conditions (including lodging and sharing housing)]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Remote interactions with friends or family]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Family atmosphere]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Relationship with friends]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Meeting new people]","13. How has your  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Professional interactions (students/teachers/collaborators)]","14. Select the four best means of sustaining or improving SOCIAL INTERACTIONS that you find effective during ""quanrantine"":","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality and availability of medical services]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your level of fatigue, pain, or headache]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your sleep condition]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of physically exercise]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your use of alcohol / tobacco / drugs]","15. How has  [...option...] changed during the ""quarantine"" period compared to ""normal time""? [Your quality/quantity of food, your digestion, appetite, and/or weight ]","16. Select the four best means of sustaining or improving PHYSICAL HEALTH and FITNESS that you find effective during ""quarantine"":","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Anxiety]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Sadness]","17. How have your feelings of  [...option...] changed during the ""qurantine"" period as compared to ""normal time""? Better means more happiness and satisfaction. [Loneliness ]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Self-confidence]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Serenity]","17bis. How have your feelings of  [...option...] changed during ""quarantine"" as compared to ""normal time""? Better means more happiness and satisfaction. [Motivation]","18. Select the four best means of sustaining or improving HAPPINESS and SATISFACTION that you find effective during ""quarantine"":","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Academic Performances]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Physical Health and Fitness]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Happiness and Satisfaction]","19. How does your [...option...] during the ""quarantine"" period compare to ""normal times""? [Social Interactions]","20. How do you rate overall the experience of ""quarantine"" and ""social distancing""?","21. Do you believe that a ""quarantine"" period is effective to contain the spread of coronavirus?","22. What did you miss most during the ""quarantine"" period?","By submitting your responses, you consent that your data will be used for research purposes"
2020-6-11 上午10:31:11,Male,France,Paris-Saclay,2nd,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, but due to other reasons",Better,Neutral,Worse,Neutral,Better,Neutral,"Attending class regularly, Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students",Worse,Worse,Neutral,Worse,Much Worse,Neutral,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Playing games with friends or family (potentially remotely)",Neutral,Neutral,Worse,Much Worse,Neutral,Neutral,"Eating well, Consuming less alcohol / tobacco / drugs, Taking showers or baths, Drinking water regularly",Much Worse,Worse,Better,Better,Better,Neutral,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music",Better,Much Worse,Neutral,Much Worse,2,5,sports,I agree.
2020-6-11 上午10:36:59,Male,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,University lodging or temporary lodging near the university,5,"YES, due to COVID-19",Worse,Better,Worse,Neutral,Much Better,Neutral,"Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Worse,Much Better,Better,Neutral,Much Worse,Worse,"Having regular video-conference meetings, Checking on friends and family regularly, Playing games with friends or family (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Neutral,Much Worse,Neutral,Neutral,Much Worse,"Breathing well, Taking showers or baths, Drinking water regularly, Taking regular breaks/naps",Better,Neutral,Neutral,Better,Much Better,Better,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal",Better,Worse,Neutral,Worse,4,5,Visiting my companion,I agree.
2020-6-11 上午10:46:53,Male,France,Paris-Saclay,3rd,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),4,NO,NA,Worse,Worse,Much Worse,NA,Neutral,"Doing homework regularly, Using on-line resources (videos, course, blogs) from outside the university, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Worse,Worse,Worse,Much Worse,Better,"Having regular video-conference meetings, Checking on friends and family regularly, Cooking and/or eating together (potentially remotely), Playing music together (potentially remotely)",Neutral,Worse,Much Worse,Much Worse,Neutral,Worse,"Eating well, Taking showers or baths, Drinking water regularly, Taking regular breaks/naps",Worse,Worse,Much Worse,Worse,Neutral,Much Worse,"Learning something new, Finishing to a lesson or do homework, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music",Worse,Much Worse,Worse,Much Worse,2,5,working in the office,I agree.
2020-6-11 上午10:58:08,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),5,Prefer not to say,Better,Better,Neutral,Neutral,Neutral,Neutral,"Attending class regularly, Doing homework regularly, Communicating online with other students during classes, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Much Worse,Neutral,"Having regular video-conference meetings, Checking on friends and family regularly, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely)",Neutral,Much Worse,Much Worse,Much Worse,Neutral,Neutral,"Eating well, Sleeping well, Going out in the sun, Taking showers or baths",Neutral,Neutral,Neutral,Neutral,Better,Better,"Finishing to a lesson or do homework, Watching videos or television, reading, or listening to music, Getting clean and dressing well, Cooking a nice meal",Neutral,Worse,Better,Neutral,4,5,le fait d’être priver d'une partie de ma famille ,I agree.
2020-6-11 上午11:04:26,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program",Other sciences,Same country as university,Primary residence or your family place (if different from your university lodging),4,NO,Neutral,Neutral,Much Better,Worse,Better,Neutral,"Attending class regularly, Using on-line resources (videos, course, blogs) from outside the university, Doing homework together with other students, Taking regularly little breaks/pauses/naps",Worse,Worse,Much Worse,Worse,Worse,Neutral,"Having regular video-conference meetings, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Much Worse,Worse,Better,Neutral,Neutral,Neutral,"Eating well, Taking your prescription medicines regularly, Going out in the sun, Drinking water regularly",Neutral,Worse,Neutral,Neutral,Neutral,Better,"Learning something new, Physically exercising, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument",Better,Neutral,Neutral,Worse,4,5,Travel,I agree.
2020-6-11 下午01:36:33,Male,Singapore,Paris Saclay but doing an internship in Singapore ,1st,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Other,4,NO,NA,Much Worse,Much Worse,Neutral,Neutral,Worse,"Getting fast and reliable internet connection, Using on-line resources (videos, course, blogs) from outside the university, Listening to music while working, Taking regularly little breaks/pauses/naps",Worse,Better,Much Worse,Much Worse,Much Worse,Worse,"Having regular video-conference meetings, Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Playing games with friends or family (potentially remotely)",NA,Worse,Worse,Neutral,Much Better,Neutral,"Eating well, Sleeping well, Physically exercising, Taking regular breaks/naps",Neutral,Worse,Much Worse,Neutral,Neutral,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well",Worse,Worse,Worse,Much Worse,2,4,Being able to physically see friends ,I agree.
2020-6-11 下午01:41:19,Male,France,Paris-Saclay,5th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,"YES, due to COVID-19",Neutral,Worse,Neutral,Better,Neutral,Worse,"Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Alternating studying and doing physical exercise, Listening to music while working",Neutral,Neutral,Better,Neutral,Neutral,Neutral,"Checking on friends and family regularly, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Taking care of a child or of someone in need (potentially remotely)",Neutral,Much Better,Worse,Worse,Better,Better,"Eating well, Sleeping well, Going out in the sun, Drinking water regularly",Worse,Worse,Worse,Worse,Worse,Worse,"Learning something new, Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal",Neutral,Worse,Worse,Worse,3,2,Friends,I agree.
2020-6-11 下午03:15:28,Male,France,Paris-Saclay,6th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),5,"YES, due to COVID-19",Better,Neutral,Better,NA,NA,Neutral,"Doing homework regularly, Communicating online with other students during classes, Meeting one-on-one with instructors, Listening to music while working",Neutral,Neutral,Neutral,Neutral,Much Worse,Better,"Joining on-line clubs, forums, or dating services, Checking on friends and family regularly, Taking care of pets or plants, Playing games with friends or family (potentially remotely)",Neutral,Better,Neutral,Better,Neutral,Better,"Eating well, Physically exercising, Consuming less alcohol / tobacco / drugs, Going out in the sun",Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,"Having a body-mind or spiritual practice (yoga, meditation, prayer, etc.), Physically exercising, Watching videos or television, reading, or listening to music, Getting clean and dressing well",Neutral,Better,Neutral,Worse,3,5,Not being able to see my family that lives far away from me,I agree.
2020-6-11 下午03:40:09,Male,Spain,Universitat de Barcelona,4th,"Yes, I am  in the last year of my program","Computer Science, computer engineering",Other,Primary residence or your family place (if different from your university lodging),2,NO,Worse,Worse,Worse,Worse,Much Worse,Better,"Attending class regularly, Listening to music while working, Taking regularly little breaks/pauses/naps, Not studying at all ",Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,"Joining on-line clubs, forums, or dating services, Taking care of pets or plants, Cooking and/or eating together (potentially remotely), Crying and waiting to do die alone.",Much Worse,Much Worse,Neutral,Much Worse,Neutral,Much Worse,"Eating well, Taking showers or baths, Drinking water regularly, Taking regular breaks/naps",Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,Much Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Cooking a nice meal, Searching how to commit suicide painless ",Much Worse,Much Worse,Much Worse,Much Worse,1,2,"Everything I had. Health, muscles, will to live, girlfriend, not addicted to porn, shopping, eating nice meals, and people mind their own business.",I agree.
2020-6-11 下午03:42:18,Female,France,Paris-Saclay,2nd,"No, I am in the middle of the program","Computer Science, computer engineering",Same country as university,Primary residence or your family place (if different from your university lodging),4,Prefer not to say,Much Worse,Worse,Worse,Worse,Neutral,Neutral,"Using on-line resources (videos, course, blogs) from outside the university, Communicating online with other students during classes, Listening to music while working, Taking regularly little breaks/pauses/naps",Neutral,Neutral,Neutral,Neutral,Neutral,Better,"Having regular video-conference meetings, Physically exercising together (potentially remotely), Cooking and/or eating together (potentially remotely), Playing games with friends or family (potentially remotely)",Neutral,Neutral,Much Better,Neutral,Neutral,Better,"Sleeping well, Going out in the sun, Drinking water regularly, Taking regular breaks/naps",Much Worse,Neutral,Neutral,Neutral,Worse,Worse,"Chatting, video-conferencing, or talking with friends or family, Watching videos or television, reading, or listening to music, Doing arts and crafts or playing an instrument, Cooking a nice meal",Much Worse,Neutral,Better,Neutral,4,5,my friends,I agree.
